Rank,Player,Team,Position,Points,Games,Avg
1,Chase Claypool,PIT,WR,42.6,1,42.6
2,Travis Fulgham,PHI,WR,31.2,1,31.2
3,Patrick Mahomes II,KC,QB,30.7,1,30.7
4,Brandin Cooks,HOU,WR,30.1,1,30.1
5,Ryan Tannehill,TEN,QB,30,1,30
6,Mike Davis,CAR,RB,29.9,1,29.9
7,Adam Thielen,MIN,WR,29.3,1,29.3
8,Mike Williams,LAC,WR,27.9,1,27.9
9,Ryan Fitzpatrick,MIA,QB,27.6,1,27.6
10,Justin Herbert,LAC,QB,27.4,1,27.4
11,Kyler Murray,ARI,QB,27.3,1,27.3
11,D.K. Metcalf,SEA,WR,27.3,1,27.3
13,Deshaun Watson,HOU,QB,26.9,1,26.9
14,Baltimore Ravens,BAL,DST,26,1,26
15,Jamison Crowder,NYJ,WR,25.6,1,25.6
16,Russell Wilson,SEA,QB,25.5,1,25.5
17,Jared Goff,LAR,QB,25.4,1,25.4
18,DeAndre Hopkins,ARI,WR,25.1,1,25.1
19,Todd Gurley II,ATL,RB,25,1,25
19,Derek Carr,LV,QB,25,1,25
21,Travis Kelce,KC,TE,24.8,1,24.8
22,Emmanuel Sanders,NO,WR,24.2,1,24.2
23,Miles Sanders,PHI,RB,23.9,1,23.9
24,Ezekiel Elliott,DAL,RB,23.5,1,23.5
25,Josh Jacobs,LV,RB,22.5,1,22.5
26,Drew Brees,NO,QB,22.1,1,22.1
27,Jason Sanders,MIA,K,22,1,22
28,Darrell Henderson,LAR,RB,21.8,1,21.8
29,Calvin Ridley,ATL,WR,21.6,1,21.6
30,Ben Roethlisberger,PIT,QB,21.4,1,21.4
31,A.J. Brown,TEN,WR,21.2,1,21.2
32,Jonnu Smith,TEN,TE,21,1,21
33,Darius Slayton,NYG,WR,20.9,1,20.9
34,Teddy Bridgewater,CAR,QB,20.8,1,20.8
35,Preston Williams,MIA,WR,20.6,1,20.6
35,Stefon Diggs,BUF,WR,20.6,1,20.6
37,CeeDee Lamb,DAL,WR,20.4,1,20.4
38,Chase Edmonds,ARI,RB,20.2,1,20.2
39,Myles Gaskin,MIA,RB,20.1,1,20.1
