Name,Position,Salary,Team,Opp,All Scores,Best Score,Best / Sal
Jordan Reed,TE,2500,SF,SEA,"[3.2, 24.0, 4.3, nan, nan, nan, nan]",24.0,9.6
Rex Burkhead,RB,4000,NE,BUF,"[3.2, 8.9, 34.8, 6.0, nan, 1.4, 7.7]",34.8,8.7
Anthony Firkser,TE,3000,TEN,CIN,"[2.5, 8.5, 0.0, nan, 4.9, 25.3, 2.7]",25.3,8.43
Indianapolis Colts,DST,3100,IND,DET,"[4.0, 15.0, 26.0, 7.0, 5.0, 4.0, nan]",26.0,8.39
Chase Claypool,WR,5200,PIT,BAL,"[6.7, 17.8, 3.4, nan, 42.6, 18.1, 0.8]",42.6,8.19
Robert Tonyan,TE,4300,GB,MIN,"[0.0, 10.5, 16.0, 33.8, nan, 5.5, 5.2]",33.8,7.86
Tyler Lockett,WR,7100,SEA,SF,"[17.2, 19.7, 37.0, 5.9, 8.4, nan, 53.0]",53.0,7.46
Baltimore Ravens,DST,3700,BAL,PIT,"[15.0, 15.0, 1.0, 6.0, 26.0, 7.0, nan]",26.0,7.03
Nyheim Hines,RB,4000,IND,DET,"[27.3, 1.4, 10.1, 6.2, 5.0, 7.7, nan]",27.3,6.82
Harrison Bryant,TE,3200,CLE,LV,"[1.5, 2.4, 7.3, 7.7, 0.0, 2.1, 21.6]",21.6,6.75
Joe Mixon,RB,6300,CIN,TEN,"[6.1, 12.6, 8.5, 42.1, 15.4, 14.9, nan]",42.1,6.68
Odell Beckham Jr.,WR,5900,CLE,LV,"[5.2, 17.4, 9.9, 38.4, 11.4, 4.5, 0.0]",38.4,6.51
Mike Williams,WR,4400,LAC,DEN,"[10.9, 3.4, 2.7, nan, 27.9, nan, 1.4]",27.9,6.34
Tyler Higbee,TE,4500,LAR,MIA,"[7.0, 28.4, 8.0, 5.0, 3.2, 8.6, nan]",28.4,6.31
San Francisco 49ers,DST,2700,SF,SEA,"[4.0, 5.0, 12.0, 6.0, -2.0, 3.0, 17.0]",17.0,6.3
Trey Burton,TE,3500,IND,DET,"[nan, nan, nan, 3.6, 8.3, 21.9, nan]",21.9,6.26
Cam Newton,QB,5700,NE,BUF,"[25.7, 35.6, 12.2, nan, nan, 20.5, 2.8]",35.6,6.25
Aaron Jones,RB,7300,GB,MIN,"[17.6, 45.6, 16.6, 22.1, nan, 13.1, nan]",45.6,6.25
Miami Dolphins,DST,2400,MIA,LAR,"[2.0, 2.0, 12.0, 3.0, 12.0, 15.0, nan]",15.0,6.25
Justin Jefferson,WR,6500,MIN,GB,"[4.6, 7.4, 30.5, 14.3, 5.3, 39.6, nan]",39.6,6.09
Allen Lazard,WR,4400,GB,MIN,"[18.2, 7.5, 26.4, nan, nan, nan, nan]",26.4,6.0
David Moore,WR,3100,SEA,SF,"[7.0, 13.8, 1.2, 18.5, 0.0, nan, 8.8]",18.5,5.97
Jonnu Smith,TE,4100,TEN,CIN,"[13.6, 24.4, 11.1, nan, 21.0, 2.3, 1.9]",24.4,5.95
Julian Edelman,WR,4400,NE,BUF,"[13.0, 25.9, 4.2, 6.5, nan, 4.3, 2.3]",25.9,5.89
Austin Ekeler,RB,5400,LAC,DEN,"[9.7, 18.8, 31.3, 2.4, nan, nan, nan]",31.3,5.8
Josh Jacobs,RB,6200,LV,CLE,"[35.9, 13.5, 9.3, 10.3, 22.5, nan, 6.1]",35.9,5.79
George Kittle,TE,7000,SF,SEA,"[9.3, nan, nan, 40.1, 8.4, 23.9, 10.5]",40.1,5.73
C.J. Uzomah,TE,2500,CIN,TEN,"[8.5, 14.2, nan, nan, nan, nan, nan]",14.2,5.68
Adam Shaheen,TE,2500,MIA,LAR,"[0.0, 1.4, 0.0, 0.0, 7.3, 14.1, nan]",14.1,5.64
James Washington,WR,3000,PIT,BAL,"[11.4, 5.2, 8.6, nan, 5.5, 16.8, 0.0]",16.8,5.6
Joe Burrow,QB,6200,CIN,TEN,"[17.3, 24.5, 20.4, 16.1, 5.3, 17.7, 34.6]",34.6,5.58
Justin Herbert,QB,6900,LAC,DEN,"[nan, 23.2, 15.7, 24.0, 27.4, nan, 38.5]",38.5,5.58
Malcolm Brown,RB,4700,LAR,MIA,"[26.0, 4.7, 1.9, 10.7, 3.4, 5.2, 11.7]",26.0,5.53
Mike Gesicki,TE,4900,MIA,LAR,"[6.0, 27.0, 8.5, 2.5, 14.1, 0.0, nan]",27.0,5.51
Alvin Kamara,RB,8200,NO,CHI,"[23.7, 38.4, 44.7, 20.9, 19.9, nan, 22.8]",44.7,5.45
Cleveland Browns,DST,2600,CLE,LV,"[0.0, 4.0, 14.0, 5.0, 13.0, 1.0, 7.0]",14.0,5.38
Hunter Renfrow,WR,3800,LV,CLE,"[4.1, 6.7, 20.4, 10.7, 5.2, nan, 8.2]",20.4,5.37
Jeff Wilson Jr.,RB,6000,SF,SEA,"[0.0, 0.3, 21.9, 2.9, 2.7, nan, 32.0]",32.0,5.33
Diontae Johnson,WR,5500,PIT,BAL,"[9.7, 23.2, 0.9, nan, 0.8, nan, 29.0]",29.0,5.27
Marcus Johnson,WR,3000,IND,DET,"[nan, nan, nan, 3.7, 8.3, 15.8, nan]",15.8,5.27
Tyler Kroft,TE,3500,BUF,NE,"[0.0, 0.0, 18.4, 2.2, 0.0, 1.7, 10.4]",18.4,5.26
Jimmy Graham,TE,4600,CHI,NO,"[11.5, 2.8, 24.0, 7.3, 12.3, 8.4, 8.1]",24.0,5.22
Marquez Valdes-Scantling,WR,3800,GB,MIN,"[19.6, 9.4, 1.5, 8.5, nan, 6.2, 0.9]",19.6,5.16
D'Andre Swift,RB,5300,DET,IND,"[11.3, 12.2, 2.9, 15.2, nan, 27.3, 14.8]",27.3,5.15
Braxton Berrios,WR,3500,NYJ,KC,"[0.0, 17.9, 16.4, 0.0, 1.3, 2.8, 7.5]",17.9,5.11
Darren Waller,TE,5600,LV,CLE,"[10.5, 28.5, 2.9, 15.8, 15.8, nan, 17.0]",28.5,5.09
Davante Adams,WR,8800,GB,MIN,"[41.6, 6.6, nan, nan, nan, 12.1, 44.6]",44.6,5.07
Baker Mayfield,QB,6100,CLE,LV,"[10.9, 16.3, 14.3, 15.2, 17.6, 7.3, 30.8]",30.8,5.05
Derrick Henry,RB,8000,TEN,CIN,"[16.1, 8.4, 27.0, nan, 19.3, 40.4, 15.2]",40.4,5.05
Pittsburgh Steelers,DST,3600,PIT,BAL,"[8.0, 13.0, 7.0, nan, 8.0, 18.0, 2.0]",18.0,5.0
Tim Patrick,WR,4700,DEN,LAC,"[6.9, 4.4, 14.3, 23.3, nan, 14.1, 7.4]",23.3,4.96
Latavius Murray,RB,4300,NO,CHI,"[4.8, 5.3, 7.5, 21.3, 7.7, nan, 6.6]",21.3,4.95
Patrick Mahomes II,QB,8100,KC,NYJ,"[20.4, 27.5, 40.0, 20.2, 30.7, 20.6, 12.0]",40.0,4.94
Emmanuel Sanders,WR,4900,NO,CHI,"[10.5, 2.8, 15.6, 15.3, 24.2, nan, nan]",24.2,4.94
Josh Allen,QB,7000,BUF,NE,"[28.2, 34.5, 32.2, 25.4, 18.3, 16.1, 16.4]",34.5,4.93
Ryan Fitzpatrick,QB,5600,MIA,LAR,"[8.4, 24.3, 25.2, 23.3, 27.6, 18.0, nan]",27.6,4.93
Jeff Driskel,QB,4000,DEN,LAC,"[nan, 19.7, 11.4, 0.9, nan, nan, nan]",19.7,4.92
Sam Darnold,QB,4800,NYJ,KC,"[12.2, 11.9, 9.7, 23.6, nan, nan, 2.8]",23.6,4.92
Josh Reynolds,WR,3100,LAR,MIA,"[2.7, 5.3, 8.0, 5.5, 6.6, 12.5, 15.2]",15.2,4.9
Keenan Allen,WR,6200,LAC,DEN,"[7.7, 16.6, 30.2, 14.2, 10.9, nan, 22.5]",30.2,4.87
New England Patriots,DST,3100,NE,BUF,"[11.0, 6.0, 15.0, 4.0, nan, 7.0, 4.0]",15.0,4.84
Adam Humphries,WR,3800,TEN,CIN,"[10.7, 15.8, 8.1, nan, nan, 18.4, 2.9]",18.4,4.84
Kalif Raymond,WR,3000,TEN,CIN,"[0.0, 0.0, 14.5, nan, 4.6, 6.2, 0.0]",14.5,4.83
Willie Snead IV,WR,3400,BAL,PIT,"[16.4, 4.9, 2.4, 4.0, 0.0, 4.2, nan]",16.4,4.82
Preston Williams,WR,4300,MIA,LAR,"[6.1, 5.6, 8.7, 4.5, 20.6, 9.8, nan]",20.6,4.79
Mo Alie-Cox,TE,3400,IND,DET,"[4.0, 16.1, 14.0, 8.3, 0.0, nan, nan]",16.1,4.74
Russell Wilson,QB,7800,SEA,SF,"[31.8, 34.4, 36.8, 21.9, 25.5, nan, 32.9]",36.8,4.72
Jesse James,TE,2500,DET,IND,"[0.0, 0.0, 11.8, 4.1, nan, 1.3, 0.0]",11.8,4.72
Isaiah Ford,WR,3100,MIA,LAR,"[3.3, 14.6, 3.4, 8.8, 4.3, 0.0, nan]",14.6,4.71
Denver Broncos,DST,3000,DEN,LAC,"[2.0, 5.0, 1.0, 6.0, nan, 14.0, 2.0]",14.0,4.67
Mitchell Trubisky,QB,5200,CHI,NO,"[24.3, 15.2, 12.6, nan, nan, nan, nan]",24.3,4.67
